Tipo,#,Prompt,Scelta #1,Conseguenza #1,Scelta #2,Conseguenza #2,Scelta #3,Conseguenza #3,Info
Regolare,16,Alcuni carissimi amici che non vedi da tempo organizzano una serata fuori a cena. Ti piacerebbe molto partecipare. Lasci a casa tuo figlio da solo o chiami la baby sitter?,Casa da solo,-30€,Chiamo la babysitter,-60€,,,
Regolare,17,Finalmente è il giorno del tuo compleanno e decidi di organizzare una piccola festa in casa. I tuoi amici sanno che sei un po' in difficoltà e per aiutarti ti propongono di scegliere tra un regalo e lo stesso importo in contanti.,Chiedi un regalo,0€,Chiedi di darti i contanti,100€,,,
Sostuibile,18,Sei al lavoro. Tuo figlio ha invitato a casa un amico e all'ora di merenda ti telefonano per chiedere se possono uscire a mangiare un gelato. Dai il tuo permesso (e i soldi per comprarlo) o gli dici di prepararsi una merenda in casa?,Glielo concedo,-5€,Glielo nego,0€,,,
Regolare,19,"Navigando online trovi un'offerta benessere davvero vantaggiosa, un supersconto su: terme, massaggio per un pomeriggio relax. L'offerta vale solo per i primi 10 che rispondono. Acquisti subito l'offerta o rinunci?",Acquisto subito,-50€,Rinuncio,0€,,,
Regolare,20,"Vicino a casa ha aperto un compro-oro: uno di quei negozi dove puoi vendere gioielli e ricevere denaro contante. Sai che in genere non pagano molto, ma hai alcune collanine e braccialetti che ti avevano regalato da piccolo e che non usi più. Li porti?",Si,100€,No,0€,,,
Regolare,21,Tuo figlio si è ammalato e siccome ha 8 anni puoi stare a casa ad assisterlo. Si prevedono 3 giorni di malattia.,Resto a casa,-(stipendio/10),Vado a lavoro,0€,,,
Regolare,22,Il condominio di un tuo amico cerca qualcuno che pulisca le scale la mattina presto due volte alla settimana. Accetti questo nuovo lavoro?,Si,50€,No,0€,,,
Regolare,23,"Tuo figlio vuole giocare a calcetto. Far parte della squadra è gratis, ma devi pagare divisa e assicurazione. Lo mandi o rinunci?",Lo mando,-50€,Non lo mando,0€,,,
Sostuibile,24,Passeggiando in centro vedi una superofferta nel tuo negozio di abbigliamento preferito: saldi al 70%. Irresistibile! Entri o rinunci?,Entro,-100€,Ignoro,0€,,,
Regolare,25,Esci di corsa per andare in ufficio. Arrivi al parcheggio e l'auto fa un rumore strano e si accende una spia. La ripari o rinvii?,La riparo,-300€,Ignoro la spia,0€,,,
Regolare,26,Tuo figlio ha preso un bel voto a scuola. Siete contenti e volete festeggiare. Ordini una pizza a domicilio o prepari qualcosa tu?,Ordino da fuori,-15€,Cucino io,0€,,,
Regolare,27,"L'idea della pizza di ieri ti ha stuzzicato un pensiero. Potresti diventare un rider per Deliveroo per un paio di sere la settimana, anche se dovrai lasciare tuo figlio da solo. Cosa decidi?",Divento un rider,20€,Resto con mio figlio,0€,,,
Regolare,28,Sei nervosissimo. Un collega ti offre una sigaretta. Tu sei un ex fumatore e sai che è un vizio pericoloso e costoso. Accetti lo stesso perché sei davvero troppo teso o rifiuti?,Accetto,-5€ ,Rifiuto,0€,,,
Regolare,29,Nel tuo quartiere la parrocchia è molto attiva. Sai che puoi andare a chiedere aiuto e ricevere un pacco alimentare del valore di 5 euro settimanali. Sei in difficoltà. Conosci di persona che gestisce gli aiuti e ti senti in imbarazzo. Vai a chiederlo?,Si,-10€,No,0€,,,
